"original_id","content","year","region","word","word_id","meaning"
"1","аглицкая безрукавка. аглицьки безрукавки-ти.","","Пинеж.","аглицкий","1","В сочетаниях"
"2","аглицкой плат (платок, платочек) – платок с ярким рисунком на красном фоне. кумацьник красной быу, платок аглицкой.","","Каргоп.","аглицкий","1","В сочетаниях"
"3","у меня ище, деушка, есть аглицки платочки.","","Лешук.","аглицкий","1","В сочетаниях"
"4","аглицкой платоцек из ситца, розны цветы, вот он и называеца аглицкой.","","Мезен.","аглицкий","1","В сочетаниях"
"5","это ничё ни вышито, это аглицькой плат. у многих были аглицькие платки. синяк одевали с рубахой пёстрой, с платом аглицьким. плат аглицькой, сицевой носили повседневной.","","Пинеж.","аглицкий","1","В сочетаниях"
"6","всё больше аглицкие носили, наверно, аглийсково происхождения.","","Устьян.","аглицкий","1","В сочетаниях"
"7","аглицкой сарафан – красный ситцевый сарафан с большими цветами. аглицкой сарафан носили только за большие праздники, воскресение и то не держали.","","Пинеж.","аглицкий","1","В сочетаниях"
"8","иногды одевали аглесники.","","Каргоп.","агличник (аглесник, аглисник)","2","Сарафан красного цвета из цветного ситца"
"9","агличники-то кумач в цветочек в белый. это тоже сарафан из покупной ткани по праздникам носили и так носили.","","Плесец.","агличник (аглесник, аглисник)","2","Сарафан красного цвета из цветного ситца"
"10","","","Пинеж.","агличник (аглесник, аглисник)","2","Сарафан красного цвета из цветного ситца"
"11","агличный(ой) сарафан – красный ситцевый сарафан с большими цветами. аглицьной сарафан.","","Вельск.","агличный","3","В сочетании"
"12","агличный сарафан у мамы был.","","Лешук.","агличный","3","В сочетании"
"13","агличный ситец – ситец с рисунком крупными цветами. был агличный ситец.","","Вельск.","агличный","3","В сочетании"
"14","аглицный ситец он вроде тюльпанами.","","Каргоп.","агличный","3","В сочетании"
"15","да у нас на праздник всё в аглишках ходили. это яркий такой красный платок с цветами.","","Пинеж.","аглишки","4","Яркий красный платок с цветами"
"16","аграмант заменяет кружева и в дореволюционное время высоко ценился. существовал также специальный промысел по изготовлению аграманта. агроманту-то я везде нашлёпала, светло дак. аграмант – это тут на груди нашито по узенькой полоске, светлой. агромант – светлы таки штучки на узенькой полоске.","","Холмог.","аграмант (агромант)","5","Отделка на женских платьях, кофточках из разноцветных слюдяных, стеклянных и других пластинок"
"17","отеч-от у меня портняжничал, азямы, шабуры шил. азям носили мужики. теперь азям не в моде.","","Вилег.","азям (озям)","6","Одежда из грубой ткани, надеваемая поверх пальто, шубы"
"18","озям как пальто, без подкладу, только воротник.","","Котлас.","азям (озям)","6","Одежда из грубой ткани, надеваемая поверх пальто, шубы"
"19","суконы азямы были. в одной кожаре-то студено, дак азяму-то и наденут.","","Красноб.","азям (озям)","6","Одежда из грубой ткани, надеваемая поверх пальто, шубы"
"20","озям из шерсти широкий тоже, мужчины носили.","","Ленск.","азям (озям)","6","Одежда из грубой ткани, надеваемая поверх пальто, шубы"
"21","зимой мужики надевали азям долгополой.","","Устьян.","азям (озям)","6","Одежда из грубой ткани, надеваемая поверх пальто, шубы"
"22","азямы-то на оболоцьку наденут, как морозы, да поедут.","","Шенк.","азям (озям)","6","Одежда из грубой ткани, надеваемая поверх пальто, шубы"
"23","клаша, ты из моёго сарафана сшей акробата (халат).","","Каргоп.","акробат","7","Женский халат"
"24","теперь-то продаваюца бусы мелкие, а раньше антари. у меня ни антарей, ни цепоцек не осталось. на игришшо ходила в повязки да в ентарях. на шею-то ентари навеся. у меня нету ентарей-то, доцери оддала.","","Пинеж.","антари (ентари, янтари)","8","Бусы с крупными бусинами или бусы из янтаря"
"25","антари наденем. сейчас бусы, а раньше антари.","","Примор.","антари (ентари, янтари)","8","Бусы с крупными бусинами или бусы из янтаря"
"26","все свои украшения – говтан, янтари, светлота – бабушка подарила внучке на свадьбе.","","Устьян.","антари (ентари, янтари)","8","Бусы с крупными бусинами или бусы из янтаря"
"27","а тут на груди нашито по узенькой полосочке – аргамент.","","Холмог.","аргамент","9","Отделка бисером по вороту мужской рубахи"
"28","перла и аржали весили вместе на груть.","","Холмог.","аржали","10","Мелкие дешёвые бусы из стекла или фарфора"
"29","шили армяки из сукна, надевали поверх пальто, шубы, когда ехали далеко в холодную погоду, например, за сеном или в лес. в армяке, конечно, в лесу теплее.","","Верхнетоем.","армяк (ормяк)","11","Верхняя мужская одежда, представляющая собой пиджак, очень широкий внизу, с высоким воротником, длинный до лодыжек"
"30","армяков теперь где возьмёшь, для спектакля в клубе переделаем толстое пальто.","","Красноб.","армяк (ормяк)","11","Верхняя мужская одежда, представляющая собой пиджак, очень широкий внизу, с высоким воротником, длинный до лодыжек"
"31","отец-то мой в армяке ходил.","","Каргоп.","армяк (ормяк)","11","Верхняя мужская одежда, представляющая собой пиджак, очень широкий внизу, с высоким воротником, длинный до лодыжек"
"32","армяки ли зипуны, куды поедут за сеном али за дровами, дак натегивали наверх.","","Ленск.","армяк (ормяк)","11","Верхняя мужская одежда, представляющая собой пиджак, очень широкий внизу, с высоким воротником, длинный до лодыжек"
"33","армяки долгие были, ниже колена.","","Мезен.","армяк (ормяк)","11","Верхняя мужская одежда, представляющая собой пиджак, очень широкий внизу, с высоким воротником, длинный до лодыжек"
"34","армяки одевали в большие морозы.","","Онеж.","армяк (ормяк)","11","Верхняя мужская одежда, представляющая собой пиджак, очень широкий внизу, с высоким воротником, длинный до лодыжек"
"35","армяк из шерсти, тулуп из овцины.","","Плесец.","армяк (ормяк)","11","Верхняя мужская одежда, представляющая собой пиджак, очень широкий внизу, с высоким воротником, длинный до лодыжек"
"36","армяки долги, тёплы, зимой носили. армяк одевают на одёжу. в армяках мужики в лес ездили, из серово сукна шили. мужчины носили ормяки и тулупы.","","Холмог.","армяк (ормяк)","11","Верхняя мужская одежда, представляющая собой пиджак, очень широкий внизу, с высоким воротником, длинный до лодыжек"
"37","армячок – уменьш. от армяк. армячник армяцьки продает.","","Пинеж.","армяк (ормяк)","11","Верхняя мужская одежда, представляющая собой пиджак, очень широкий внизу, с высоким воротником, длинный до лодыжек"
"38","армячишко – уменьш. от армяк. армяцишко продал да новой купил.","","Пинеж.","армяк (ормяк)","11","Верхняя мужская одежда, представляющая собой пиджак, очень широкий внизу, с высоким воротником, длинный до лодыжек"
"39","артальни или ертальни – они как бусы на шее. аржальни вешались на летни платья.","","Холмог.","артальни (ертальни, аржальни)","12","Бусы"
"40","платье было шшыто из атласа.","","Каргоп.","атлас","13","Плотная шёлковая ткань с блестящей, гладкой поверхностью"
"41","наряды были отласные, отласник – кофта. атласник (жакет) одет, а на ногах-то лапти.","","Каргоп.","атласник (отласник)","14","Атласная пара (комплект из юбки и казачка), сшитая из атласа, обычно синего цвета с красными разводами"
"42","на праздник атласник одевали те, кто побогаче.","","Плесец.","атласник (отласник)","14","Атласная пара (комплект из юбки и казачка), сшитая из атласа, обычно синего цвета с красными разводами"
"43","атласники из атласа шилися расклешённые, приталенные, были с опушкой, из разного атласа, то яркого, то бледного, то же, что юбка, опушки нешироки были.","","Плесец.","атласник (отласник)","14","Атласная пара (комплект из юбки и казачка), сшитая из атласа, обычно синего цвета с красными разводами"
"44","такие отласники – платы отласные, шёлковые, золотые платы.","","Каргоп.","атласник (отласник)","14","Атласная пара (комплект из юбки и казачка), сшитая из атласа, обычно синего цвета с красными разводами"
"45","кто побогаче, тот атласник и носил.","","Плесец.","атласник (отласник)","14","Атласная пара (комплект из юбки и казачка), сшитая из атласа, обычно синего цвета с красными разводами"
"46","атласник был у мамы.","","Примор.","атласник (отласник)","14","Атласная пара (комплект из юбки и казачка), сшитая из атласа, обычно синего цвета с красными разводами"
"47","раньше были-то атласники. атласники больше девушки носили. надёвали платья атласники.","","Каргоп.","атласник (отласник)","14","Атласная пара (комплект из юбки и казачка), сшитая из атласа, обычно синего цвета с красными разводами"
"48","атласник из атласа шьют. атласники ценились.","","Мезен.","атласник (отласник)","14","Атласная пара (комплект из юбки и казачка), сшитая из атласа, обычно синего цвета с красными разводами"
"49","отласник есть – хороша невеста.","","Плесец.","атласник (отласник)","14","Атласная пара (комплект из юбки и казачка), сшитая из атласа, обычно синего цвета с красными разводами"
"50","атласники были долгие. девки идут в атласниках да перевясках. одевались, у ково раньше отласники были, самый лучший сарафан.","","Каргоп.","атласник (отласник)","14","Атласная пара (комплект из юбки и казачка), сшитая из атласа, обычно синего цвета с красными разводами"
"51","атласник – сарафан из атласа.","","Конош.","атласник (отласник)","14","Атласная пара (комплект из юбки и казачка), сшитая из атласа, обычно синего цвета с красными разводами"
"52","шили новой, голубой отласник.","","Красноб.","атласник (отласник)","14","Атласная пара (комплект из юбки и казачка), сшитая из атласа, обычно синего цвета с красными разводами"
"53","атласник носили из атласу.","","Лешук.","атласник (отласник)","14","Атласная пара (комплект из юбки и казачка), сшитая из атласа, обычно синего цвета с красными разводами"
"54","атласник – сарафаны, на них нашивали гас (парчовую ленту).","","Няндом.","атласник (отласник)","14","Атласная пара (комплект из юбки и казачка), сшитая из атласа, обычно синего цвета с красными разводами"
"55","атласник разноцветный, основа разная с переливами. сарафан опушка, тут пуговица, широкие, длинные, внизу другой материал, на подкладе, с оборками, как юбка. синево и красново цвету были. штофник – цветы-те однаки, атласник – розныма цветами.","","Плесец.","атласник (отласник)","14","Атласная пара (комплект из юбки и казачка), сшитая из атласа, обычно синего цвета с красными разводами"
"56","ох, отласники-те были баски.","","Устьян.","атласник (отласник)","14","Атласная пара (комплект из юбки и казачка), сшитая из атласа, обычно синего цвета с красными разводами"
"57","на свадьбу атласники надевали, кокошники. невеста была в атласнике.","","Плесец.","атласник (отласник)","14","Атласная пара (комплект из юбки и казачка), сшитая из атласа, обычно синего цвета с красными разводами"
"58","отласница, дак это нарядный головной убор невесты.","","Няндом.","атласница (отласница)","15","Головнóй убóр невéсты"
"59","кашемирники, атласницы одевали.","","Каргоп.","атласница (отласница)","15","Головнóй убóр невéсты"
"60","заведи-ка мне атласницёк.","","Каргоп.","атласничек","16","Дорогóй-от евóй атлáсничок, на другýю вись на гря́доцьку"
"61","","","Пинеж.","базарка","17","Женская рубаха, рукава которой были сшиты из купленной ткани"
"62","а эте базарьськие-те, сама – нецёго, ноги к полу пристывают (о валенках).","","Верхнетоем.","базарский","18","Покупной, купленный на базаре"
"63","базарски-ти не все могли купить домоткано носили завсе, базарско – нарядно.","","Лешук.","базарский","18","Покупной, купленный на базаре"
"64","базарска одежда, не самоткана.","","Пинеж.","базарский","18","Покупной, купленный на базаре"
"65","базачки – с базара значит.","","Пинеж.","базачки","19","Купленная на базаре обувь"
"66","раньше кофту в черкву одевала, а нонче я её не балаку.","","Вилег.","балакать","20","Надевать"
"67","балахон не по кости. – одежда не по фигуре. как ты смешно одет балахон не по кости.","","Холмог.","балахон","21","В сочетании"
"68","у нас раньше носили одежду мужики, балахонами называли.","","Вельск.","балахон","21","В сочетании"
"69","пойдёшь куда, накинешь балахон.","","Конош.","балахон","21","В сочетании"
"70","ходили мы тогда в балахонах кажный день, акромя праздников.","","Ленск.","балахон","21","В сочетании"
"71","балахон – мужска одежда.","","Устьян.","балахон","21","В сочетании"
"72","балахоны поверх шубы или пальто одевали.","","Няндом.","балахон","21","В сочетании"
"73","опять балахон надеваешь сверху","","Красноб.","балахон","21","В сочетании"
"74","пошто опеть в балахон-от выредился.","","Ленск.","балахон","21","В сочетании"
"75","балахонисто шибко пальто-то.","","Красноб.","балахонистый","22","Об одежде: широкая, мешкообразная"
"76","от покойничи матушки платьё осталось с бантом напереди.","","Ленск.","бант","23","Незатяжной узелок, с ушами, с петельками"
"77","пуговицы банточками раньше звали. кофточка атласна, с кружавцами, банточки беленьки – прелись.","","Примор.","банточки","24","Пуговицы"
